Bracket Type=4,
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name,
Unknown,HeLa_200pg_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000171,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:E11,2,,0,0,0,1,,EW,,,,,HeLa_200pg,
Unknown,HeLa_1ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000172,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:D11,2,,0,0,0,1,,EW,,,,,HeLa_1ng,
Unknown,HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000173,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:C11,2,,0,0,0,1,,EW,,,,,HeLa_5ng,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000174,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:B11,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000175,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:A11,2,,0,0,0,1,,EW,,,,,HeLa_50ng,
Unknown,CCA_TT0000176,1,E:\Data\2026_01\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,,,B:B12,2,,0,0,0,1,,EW,,,,,Blank,
Unknown,CCA_TT0000177,1,E:\Data\2026_01\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,,,B:A12,2,,0,0,0,1,,EW,,,,,Blank,
Unknown,HeLa_100pg_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000178,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:E11,1,,0,0,0,1,,EW,,,,,HeLa_100pg,
Unknown,BSA_6fmol_Aurora15_16_20m150nl23p5v1_TT0000179,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20m150nlML23p5mA15v1,,,B:A10,2,,0,0,0,1,,EW,,,,,BSA_6fmol,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20m150nl23p5v1_DIA003_TT0000180,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20m150nlML23p5mA15v1,,,B:B11,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,Blank_01FA_2uL_VNeo_Aurora15_16_20m150nl23p5v1_DIA003_TT0000181,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20m150nlML23p5mA15v1,,,B:A1,2,,0,0,0,1,,EW,,,,,Blank_01FA,
Unknown,CCA_TT0000182,1,E:\Data\2026_01\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,,,B:A12,2,,0,0,0,1,,EW,,,,,Blank,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000183,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:B11,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,Blank_01FA_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000184,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:A1,2,,0,0,0,1,,EW,,,,,Blank_01FA,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20minv2_DIA003_TT0000185,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:B11,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,CCA_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000186,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:A12,2,,0,0,0,1,,EW,,,,,Blank_01FA,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000187,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:B11,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_36m150nlLong40_DIA003_TT0000188,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\36m150nlLong40,,,B:B11,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_36m150nlSlow40_DIA003_TT0000189,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\36m150nlSlow40,,,B:B11,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_27m150nlv3_DIA003_TT0000190,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\27m150nlv3,,,B:B11,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_25m150nlv4_DIA003_TT0000191,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m150nlv4,,,B:B11,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_24m150nlThermo_DIA003_TT0000192,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\24m150nlThermo,,,B:B11,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_25m150nlv5Thermo_DIA003_TT0000193,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m150nlv5,,,B:B11,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20p5m150nlv6Thermo_DIA003_TT0000194,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv6,,,B:B11,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,CCA_2uL_VNeo_Aurora15_16_20p5m150nlv6_DIA003_TT0000195,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv6,,,B:A12,2,,0,0,0,1,,EW,,,,,CCA,
Unknown,HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_20min_DIA003_TT0000196,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:E11,1,,0,0,0,1,,EW,,,,,HeLa_100pg,
Unknown,HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_20p5m150nlv6_DIA003_TT0000197,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv6,,,B:E11,1,,0,0,0,1,,EW,,,,,HeLa_100pg,
Unknown,HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_20p5m150nlv6_DIA75ms_TT0000198,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv6,,,B:E11,1,,0,0,0,1,,EW,,,,,HeLa_100pg,
Unknown,HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_25m150nlv5_DIA75ms_TT0000199,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m150nlv5,,,B:E11,1,,0,0,0,1,,EW,,,,,HeLa_100pg,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20p5m150nlv6Thermo_DIA75ms_TT0000200,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv6,,,B:B1,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_25m150nlv5_DIA75ms_TT0000201,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m150nlv5,,,B:B1,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_25m200nlv5_DIA75ms_TT0000202,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m200nlv5,,,B:B1,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_25m200nlv5_DIA75msW83_TT0000203,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m200nlv5,,,B:B1,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,CCA_2uL_VNeo_Aurora15_16_25m200nlv5_DIA003_TT0000204,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m200nlv5,,,B:A12,2,,0,0,0,1,,EW,,,,,CCA,
Unknown,HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_20m150nl_DIA75ms_TT0000205,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,,,B:E11,1,,0,0,0,1,,EW,,,,,HeLa_100pg,
Unknown,HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_25m150nlv5_DIA75ms_TT0000206,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m150nlv5,,,B:E11,1,,0,0,0,1,,EW,,,,,HeLa_100pg,
Unknown,HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_25m200nlv5_DIA75ms_TT0000207,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m200nlv5,,,B:E11,1,,0,0,0,1,,EW,,,,,HeLa_100pg,
Unknown,HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_25m200nlv5_DIA75msW83_TT0000208,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m200nlv5,,,B:E11,1,,0,0,0,1,,EW,,,,,HeLa_100pg,
Unknown,HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_25m150nlv5_DIA75msW83_TT0000209,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m150nlv5,,,B:E11,1,,0,0,0,1,,EW,,,,,HeLa_100pg,
Unknown,HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_20p5m150nlv7_DIA75msW83_TT0000210,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv7,,,B:E11,1,,0,0,0,1,,EW,,,,,HeLa_100pg,
Unknown,HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_16m150nlv8_DIA75msW83_TT0000211,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\16m150nlv8,,,B:E11,1,,0,0,0,1,,EW,,,,,HeLa_100pg,
Unknown,HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_11p5150nlv9_DIA75msW83_TT0000212,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\11p5m150nlv9,,,B:E11,1,,0,0,0,1,,EW,,,,,HeLa_100pg,
Unknown,HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_16m150nlv8_DIA60msW83_75msIMcal_TT0000213,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\16m150nlv8,,,B:E11,1,,0,0,0,1,,EW,,,,,HeLa_100pg,
Unknown,HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_16m150nlv8_DIA75msW63_TT0000214,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\16m150nlv8,,,B:E11,1,,0,0,0,1,,EW,,,,,HeLa_100pg,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20p5m150nlv5_DIA75msW83_TT0000215,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv7,,,B:B1,2,,0,0,0,1,,EW,,,,,HeLa_100pg,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_17p5m150nlv10_DIA75msW83_TT0000216,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\17p5m150nlv10,,,B:B1,2,,0,0,0,1,,EW,,,,,HeLa_100pg,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_17p7m150nlv11_DIA75msW83_TT0000217,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\17p7m150nlv11,,,B:B1,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_17p7m150nlv11_DIA60msW83_75msIMcal_TT0000218,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\17p7m150nlv11,,,B:B1,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_17p75m150nlv12_DIA75msW83_TT0000219,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\17p75m150nlv12,,,B:B1,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_17p5m150nlv13_DIA75msW83_TT0000220,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\17p5m150nlv13,,,B:B1,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_17p5m150nlv13_DIA75msW83_TT0000220,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\17p5m150nlv13,,,B:B1,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_17p5m150nlv13_DIA75msW83_TT0000222,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv14,,,B:B1,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20m150nlv15_DIA75msW83_TT0000223,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20m150nlv15,,,B:C1,2,,0,0,0,1,,EW,,,,,HeLa_5ng,
Unknown,HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20p5m150nlv7_DIA75msW83_TT0000224,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv7,,,B:C1,2,,0,0,0,1,,EW,,,,,HeLa_5ng,
Unknown,HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p75m150nlv16_DIA75msW83_TT0000225,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\23p75m150nlv16,,,B:C1,2,,0,0,0,1,,EW,,,,,HeLa_5ng,
Unknown,HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_22p75m150nlv16_DIA75msW83_TT0000226,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\23p75m150nlv16,,,B:A1,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,Blank_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p75m150nlv16_DIA75msW83_TT0000227,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\23p75m150nlv16,,,B:A9,2,,0,0,0,1,,EW,,,,,Blank,
Unknown,HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p75mHighACNW150nlv17_DIA75msW83_TT0000228,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\23p75mHighACNWash150nlv17,,,B:A1,2,,0,0,0,1,,EW,,,,,HeLa_20ng,
Unknown,Blank_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p75m150nlv16_DIA75msW83_TT0000229,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\23p75m150nlv16,,,B:A9,2,,0,0,0,1,,EW,,,,,Blank,
Unknown,HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\23p65m150nlv18Zebra,,,B:A1,2,,0,0,0,1,,EW,,,,,HeLa_50ng,
Unknown,Blank_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p75m150nlv16_DIA75msW83_TT0000231,1,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\23p75m150nlv16,,,B:A9,2,,0,0,0,1,,EW,,,,,Blank,
