File Name,Path,Instrument Method,Position,Inj Vol,Sample ID,MS Method,Result Path
HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA85ms1500Vnopoly_TT0000265,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:A11,2,HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA85ms1500Vnopoly_TT0000265,D:\Methods\Ultra2Methods\DDA\Testing\DDA101RT85WideV1500noPoly.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA85ms1500Vnopoly_TT0000265_B-A11_1_14668.d
HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vnopoly_TT0000266,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:A11,2,HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vnopoly_TT0000266,D:\Methods\Ultra2Methods\DDA\Testing\DDA101RT95WideV1500noPoly.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vnopoly_TT0000266_B-A11_1_14669.d
HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA100ms1500Vnopoly_TT0000267,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:A11,2,HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA100ms1500Vnopoly_TT0000267,D:\Methods\Ultra2Methods\DDA\Testing\DDA101RT100WideV1500noPoly.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA100ms1500Vnopoly_TT0000267_B-A11_1_14670.d
HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vpoly_TT0000268,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:A11,2,HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vpoly_TT0000268,D:\Methods\Ultra2Methods\DDA\Testing\DDA101RT95WideV1500Poly.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vpoly_TT0000268_B-A11_1_14671.d
CC25_TT0000269,E:\Data\2026_02\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,B:B12,2,CC25_TT0000269,D:\Methods\Ultra2Methods\MS1\MS1001.m?OtofImpacTEMControl,E:\Data\2026_02\Wash\CC25_TT0000269_B-B12_1_14672.d
HeLa_100pg_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vpoly_TT0000270,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:E11,1,HeLa_100pg_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vpoly_TT0000270,D:\Methods\Ultra2Methods\DDA\Testing\DDA101RT95WideV1500Poly.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_100pg_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vpoly_TT0000270_B-E11_1_14673.d
HeLa_200pg_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vpoly_TT0000271,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:E11,2,HeLa_200pg_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vpoly_TT0000271,D:\Methods\Ultra2Methods\DDA\Testing\DDA101RT95WideV1500Poly.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_200pg_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vpoly_TT0000271_B-E11_1_14674.d
HeLa_1ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vpoly_TT0000272,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:D11,2,HeLa_1ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vpoly_TT0000272,D:\Methods\Ultra2Methods\DDA\Testing\DDA101RT95WideV1500Poly.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_1ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vpoly_TT0000272_B-D11_1_14675.d
HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vpoly_TT0000273,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:C11,2,HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vpoly_TT0000273,D:\Methods\Ultra2Methods\DDA\Testing\DDA101RT95WideV1500Poly.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vpoly_TT0000273_B-C11_1_14676.d
HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vpoly_TT0000274,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:B11,2,HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vpoly_TT0000274,D:\Methods\Ultra2Methods\DDA\Testing\DDA101RT95WideV1500Poly.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6m200nlv28_DDA95ms1500Vpoly_TT0000274_B-B11_1_14677.d
CC25_TT0000275,E:\Data\2026_02\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,B:B12,2,CC25_TT0000275,D:\Methods\Ultra2Methods\MS1\MS1001.m?OtofImpacTEMControl,E:\Data\2026_02\Wash\CC25_TT0000275_B-B12_1_14678.d
CC25_TT0000276,E:\Data\2026_02\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,B:C12,2,CC25_TT0000276,D:\Methods\Ultra2Methods\MS1\MS1001.m?OtofImpacTEMControl,E:\Data\2026_02\Wash\CC25_TT0000276_B-C12_1_14679.d
HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20m30mML200nl_DIA75msW83_TT0000277,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\20m200nlML30mA15phospho4,B:A1,2,HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20m30mML200nl_DIA75msW83_TT0000277,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20m30mML200nl_DIA75msW83_TT0000277_B-A1_1_14680.d
HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6v28_DIA75msW83_TT0000278,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv28drop,B:A1,2,HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6v28_DIA75msW83_TT0000278,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6v28_DIA75msW83_TT0000278_B-A1_1_14681.d
HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6v31_DIA75msW83_TT0000279,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv31,B:A1,2,HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6v31_DIA75msW83_TT0000279,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6v31_DIA75msW83_TT0000279_B-A1_1_14682.d
HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6v30_DIA75msW83_TT0000280,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv30,B:A1,2,HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6v30_DIA75msW83_TT0000280,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6v30_DIA75msW83_TT0000280_B-A1_1_14683.d
HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_25mv5_DIA75msW83_TT0000281,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\25m200nlv5,B:A1,2,HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_25mv5_DIA75msW83_TT0000281,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_25mv5_DIA75msW83_TT0000281_B-A1_1_14684.d
HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6v36_DIA75msW83_TT0000282,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv36,B:A1,2,HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6v36_DIA75msW83_TT0000282,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6v36_DIA75msW83_TT0000282_B-A1_1_14685.d
HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6v37_DIA75msW83_TT0000283,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv37,B:A1,2,HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6v37_DIA75msW83_TT0000283,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6v37_DIA75msW83_TT0000283_B-A1_1_14686.d
HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p5v32_DIA75msW83_TT0000284,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv38,B:A1,2,HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6v32_DIA75msW83_TT0000284,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p6v32_DIA75msW83_TT0000284_B-A1_1_14687.d
HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p5v40_DIA75msW83_TT0000285,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\15p5m200nlv40,B:A1,2,HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p5v40_DIA75msW83_TT0000285,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_18p5v40_DIA75msW83_TT0000285_B-A1_1_14688.d
HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_19mv41_DIA75msW83_TT0000286,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\19m200nlv41,B:A1,2,HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_19mv41_DIA75msW83_TT0000286,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_19mv41_DIA75msW83_TT0000286_B-A1_1_14689.d
HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_18p6v36_DIA75msW83_TT0000287,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18p6m200nlv36,B:F2,1,HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_18p6v36_DIA75msW83_TT0000287,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_18p6v36_DIA75msW83_TT0000287_B-F2_1_14690.d
HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_25m200nlv5_DIA75msW83_TT0000288,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\25m200nlv5,B:F2,1,HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_25m200nlv5_DIA75msW83_TT0000288,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_25m200nlv5_DIA75msW83_TT0000288_B-F2_1_14691.d
HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_19mv43_DIA75msW83_TT0000289,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\19m200nlv43,B:F2,1,HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_19mv43_DIA75msW83_TT0000289,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_19mv43_DIA75msW83_TT0000289_B-F2_1_14692.d
HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_19mv44_DIA75msW83_TT0000290,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\19m200nlv44,B:F2,1,HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_19mv44_DIA75msW83_TT0000290,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_19mv44_DIA75msW83_TT0000290_B-F2_1_14693.d
HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_19mv45_DIA75msW83_TT0000291,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\19m200nlv45,B:F2,1,HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_19mv45_DIA75msW83_TT0000291,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_19mv45_DIA75msW83_TT0000291_B-F2_1_14694.d
HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_18mv46_DIA75msW83_TT0000292,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18m200nlv46,B:F2,1,HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_18mv46_DIA75msW83_TT0000292,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_18mv46_DIA75msW83_TT0000292_B-F2_1_14695.d
HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_18mv47_DIA75msW83_TT0000293,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\18m200nlv47,B:F2,1,HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_18mv47_DIA75msW83_TT0000293,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_18mv47_DIA75msW83_TT0000293_B-F2_1_14696.d
HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_19mv50_DIA75msW83_TT0000294,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\19m200nlv50,B:F2,1,HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_19mv50_DIA75msW83_TT0000294,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_19mv50_DIA75msW83_TT0000294_B-F2_1_14697.d
HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_22p65mv49_DIA75msW83_TT0000295,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\22p65m200nlv49,B:F2,1,HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_22p6_DIA75msW83_TT0000295,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_22p6_DIA75msW83_TT0000295_B-F2_1_14698.d
HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_20m30mML200nl_DIA75msW83_TT0000296,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\20m200nlML30mA15phospho4,B:F2,1,HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_20m30mML200nl_DIA75msW83_TT0000296,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_20m30mML200nl_DIA75msW83_TT0000296_B-F2_1_14699.d
HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_19mv45_DIA75msW83_TT0000297,E:\Data\2026_02\Data,D:\Methods\VNeo\A15\Separation\Testing\19m200nlv45,B:F2,1,HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_19mv45_DIA75msW83_TT0000297,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_02\Data\HeLa_5ng_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_19mv45_DIA75msW83_TT0000297_B-F2_1_14700.d
CC25_TT0000298,E:\Data\2026_02\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,B:D12,2,CC25_TT0000298,D:\Methods\Ultra2Methods\MS1\MS1001.m?OtofImpacTEMControl,E:\Data\2026_02\Wash\CC25_TT0000298_B-D12_1_14701.d
